Iteration,Win Rate,No Lose Rate
1,0.95,0.95
2,0.85,0.85
4,0.9,0.95
5,0.9,1.0
8,0.85,0.85
9,0.95,0.95
11,0.95,0.95
12,0.95,0.95
17,0.85,0.85
19,0.8,0.8
20,0.8,0.85
21,0.8,0.8
22,0.9,0.95
25,0.9,0.9
27,0.85,0.95
29,0.95,0.95
30,0.85,0.9
31,1.0,1.0
32,0.95,0.95
33,0.65,0.8
34,0.8,0.95
35,0.85,1.0
36,0.9,1.0
37,0.5,0.95
38,0.65,0.85
39,0.4,0.65
40,0.7,0.85
41,0.7,0.85
42,0.75,1.0
43,1.0,1.0
45,0.65,0.85
46,0.75,0.85
47,0.85,0.9
48,0.7,0.85
49,0.6,0.8
50,0.6,0.7
