Iteration,Win Rate,No Lose Rate
1,0.9,0.95
6,0.45,0.7
7,0.7,0.8
8,0.4,0.8
9,0.4,0.8
10,0.5,0.8
11,0.35,0.9
12,0.2,0.7
13,0.65,0.9
14,0.4,0.7
15,0.8,0.95
16,0.8,1.0
17,0.45,0.75
18,0.5,0.95
19,0.95,1.0
21,0.85,1.0
22,0.75,0.9
23,0.8,0.95
25,1.0,1.0
27,0.65,0.75
28,0.95,0.95
31,0.85,0.9
32,0.75,0.85
33,0.85,0.85
34,0.7,0.9
35,0.75,0.95
36,0.7,0.9
37,0.5,0.7
38,0.65,0.85
39,0.75,0.9
40,0.9,0.9
41,0.5,0.95
42,0.75,0.95
43,0.8,1.0
44,0.75,0.95
45,0.65,1.0
46,0.95,0.95
47,0.45,0.9
48,0.65,1.0
49,0.4,0.9
50,0.7,1.0
