Iteration,Win Rate,No Lose Rate
1,0.95,0.95
2,0.9,0.9
4,0.95,0.95
5,0.9,1.0
7,0.9,0.95
8,0.95,1.0
9,0.9,0.95
11,0.9,0.95
12,0.95,1.0
13,0.95,0.95
17,1.0,1.0
19,0.9,0.9
21,0.8,0.9
22,0.85,0.9
23,0.55,0.8
24,0.85,0.95
25,0.8,0.8
26,0.65,0.85
27,0.95,1.0
28,0.85,0.95
29,0.85,0.85
30,0.65,0.75
32,1.0,1.0
34,0.75,0.95
38,0.7,0.9
39,0.5,0.75
40,0.3,0.7
41,0.8,0.9
42,0.75,0.85
46,0.95,0.95
47,0.85,0.9
48,0.45,0.7
49,1.0,1.0
50,1.0,1.0
