Iteration,Win Rate,No Lose Rate
1,0.95,0.95
3,0.95,0.95
6,0.9,0.9
7,0.8,0.8
9,0.9,0.95
13,0.95,1.0
15,0.95,0.95
16,0.95,0.95
19,0.9,0.9
20,0.85,0.85
21,0.95,0.95
22,0.8,0.85
23,0.9,0.95
24,1.0,1.0
25,0.95,0.95
26,0.85,0.85
27,0.85,0.85
29,0.95,0.95
33,0.95,0.95
34,0.85,0.9
35,0.85,0.85
36,0.7,0.8
37,0.95,0.95
38,0.9,0.95
39,0.95,0.95
40,0.85,0.9
44,0.8,0.8
45,0.85,0.85
47,1.0,1.0
48,0.6,0.6
49,0.85,0.85
