Iteration,Win Rate,No Lose Rate
1,1.0,1.0
2,0.85,0.95
3,0.95,1.0
6,0.9,0.95
9,0.85,0.85
11,0.8,0.8
12,0.85,0.95
13,0.7,0.7
14,0.85,0.85
15,0.85,1.0
16,0.9,0.95
17,0.65,0.95
18,0.8,0.95
21,1.0,1.0
22,0.7,0.7
23,0.8,0.95
24,0.65,0.7
26,0.65,0.75
27,0.9,0.95
28,0.8,0.9
30,0.8,0.8
32,0.65,0.65
34,0.9,0.95
39,0.9,0.9
41,0.8,0.85
42,1.0,1.0
43,0.8,0.9
46,0.85,0.9
47,0.5,0.55
49,0.7,0.7
50,0.85,0.9
