Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.5,0.5
3,0.4,0.45
4,0.65,0.7
5,0.55,0.55
6,0.65,0.65
7,0.4,0.45
8,0.55,0.65
9,0.7,0.7
10,0.75,0.75
11,0.5,0.55
12,0.75,0.85
13,0.7,0.75
14,0.7,0.7
15,0.65,0.65
16,0.45,0.45
17,0.6,0.65
18,0.5,0.55
19,0.75,0.75
20,0.5,0.6
21,0.7,0.75
22,0.5,0.5
23,0.55,0.55
24,0.7,0.75
25,0.55,0.65
26,0.6,0.75
27,0.45,0.5
28,0.65,0.65
29,0.65,0.7
30,0.65,0.65
31,0.6,0.7
32,0.35,0.45
33,0.65,0.7
34,0.5,0.55
35,0.4,0.45
36,0.5,0.55
37,0.7,0.7
38,0.4,0.45
39,0.7,0.7
40,0.55,0.55
41,0.5,0.5
42,0.45,0.45
43,0.45,0.5
44,0.4,0.4
45,0.55,0.6
46,0.5,0.55
47,0.6,0.7
48,0.6,0.6
49,0.75,0.75
50,0.45,0.5
